origin_id,destination_id,shortest_distance
"204","48",17152.7585308418
"205","48",20690.1328992589
"206","1",25398.54694902
"207","3",9193.24769622364
"208","3",8818.2500813825
"209","3",8460.03665041251
"210","3",8205.65990566435
"211","3",7984.71119633331
"212","3",7850.82644951308
"213","3",10867.3507100472
"214","3",10203.9540908315
"215","3",9508.07717453213
"216","3",8773.67909926819
"217","3",8067.11247913752
"218","3",9529.96895513536
"219","3",8342.45121162839
"220","3",8446.50582337633
"221","3",8675.36744227153
"222","3",9256.40232957153
"223","3",9964.43787542181
"224","3",10621.8924862095
"225","48",16778.5090123555
"226","48",16878.1994047633
"227","48",16541.3519379183
"228","48",16425.1749130636
"229","1",21133.5889628247
"230","1",21133.5889628247
"231","1",21133.5889628247
"232","3",8716.95668967307
"233","3",8332.95357811825
"234","3",7973.78865954177
"235","3",7707.69382281369
"236","3",7488.04282598551
"237","3",7415.58436381821
"238","3",7440.41799984021
"239","3",9899.38815812967
"240","3",9103.1066904368
"241","3",8396.54003293418
"242","3",7678.93872617456
"243","3",7487.78504804552
"244","3",7719.80126301339
"245","3",8093.71092801807
"246","3",8784.61205145952
"247","3",9688.89884390121
"248","3",10325.8760723283
"249","3",11050.22505385
"250","48",16229.790591488
"251","48",16126.3115459596
"252","48",16403.1360900134
"253","48",16648.7276986264
"254","48",15820.8724671999
"255","48",16341.708310179
"256","1",21050.1223599401
"257","1",21050.1223599401
"258","1",21050.1223599401
"259","1",21050.1223599401
"260","1",21050.1223599401
"261","1",21050.1223599401
"262","1",21050.1223599401
"263","3",8272.3021060577
"264","3",7864.4371516684
"265","3",7495.38059144631
"266","3",7193.86602073443
"267","3",6994.26110582351
"268","3",6974.33733407999
"269","3",6909.95710237256
"270","3",6664.94266142893
"271","3",6675.59469356624
"272","3",6470.09621491643
"273","3",7504.24613492016
"274","3",7405.66611686468
"275","3",7569.51632599985
"276","3",8119.98774932643
"277","3",8208.78617438315
"278","3",10814.1575331758
"279","3",11263.0331478864
"280","3",11203.4247751279
"281","48",15681.5417638893
"282","48",15990.2648420526
"283","48",15671.951613386
"284","48",15378.0907501681
"285","48",16637.1188873216
"286","48",15973.2321372585
"287","48",16644.8660285101
"288","48",18113.2101867754
"289","1",22821.6242365365
"290","1",22821.6242365365
"291","1",22821.6242365365
"292","1",22821.6242365365
"293","1",22821.6242365365
"294","1",22821.6242365365
"295","1",22821.6242365365
"296","3",7789.37850515339
"297","3",7539.29191442152
"298","3",7394.15479786833
"299","3",7000.25025980186
"300","3",6666.83452329382
"301","3",6528.19288784886
"302","3",6582.97595703295
"303","3",6178.77025678807
"304","3",6303.02042489895
"305","3",6012.99615770888
"306","3",7323.79943184471
"307","3",6798.11959204396
"308","3",6945.45131431814
"309","3",7369.70837152597
"310","3",7863.92272446694
"311","3",11725.2774121612
"312","48",15132.4646625139
"313","48",15544.5399052901
"314","48",15053.8909014013
"315","48",15851.1643221915
"316","48",14835.7063951519
"317","48",18474.5780797084
"318","48",16105.3903939563
"319","48",16770.9880778808
"320","48",17432.0048844806
"321","48",18202.8199643602
"322","90",12522.1927250705
"323","1",16767.2062541739
"324","1",16767.2062541739
"325","1",16767.2062541739
"326","1",16767.2062541739
"327","1",16767.2062541739
"328","1",16767.2062541739
"329","1",16767.2062541739
"330","1",16767.2062541739
"331","1",16767.2062541739
"332","3",7207.97063498466
"333","3",6964.83761178246
"334","3",6811.79097864536
"335","3",6518.80766380502
"336","3",6171.61918883794
"337","3",6117.6201073743
"338","3",6132.7681895241
"339","3",5679.5101566703
"340","3",5959.78700463293
"341","3",8487.17735201067
"342","1",12921.2263681757
"343","3",7597.29048832177
"344","3",6753.59333260956
"345","3",7240.20150301378
"346","3",7602.78445440875
"347","1",12036.8334705738
"348","48",14753.3642854944
"349","48",14496.8700009252
"350","48",15771.8334940108
"351","48",14802.8221433739
"352","48",14397.7098257777
"353","48",18192.8796005236
"354","48",17526.3773608032
"355","48",16294.2339235965
"356","48",16984.6143073984
"357","48",17550.5843925129
"358","48",18739.5466356207
"359","90",12177.8576417038
"360","90",12108.9198745713
"361","90",12093.9254601123
"362","1",16338.9389892157
"363","1",16338.9389892157
"364","1",16338.9389892157
"365","1",16338.9389892157
"366","1",16338.9389892157
"367","1",16338.9389892157
"368","1",16338.9389892157
"369","1",16338.9389892157
"370","90",7111.5184628898
"371","3",6638.04032773424
"372","3",6368.07860500545
"373","3",6169.79006585441
"374","3",6016.87854607603
"375","3",5594.05518752744
"376","3",5623.87849791202
"377","3",5463.89293851016
"378","3",6137.25740148244
"379","3",5758.76549221807
"380","3",5166.25304917995
"381","3",5600.17892348481
